Week,Index,SearchWord,Category
2021-07-11,5,Florence,All
2022-07-10,5,Florence,All
2022-09-04,5,Florence,All
2018-02-04,61,Sicily,All
2018-02-11,59,Sicily,All
2018-02-18,59,Sicily,All
2018-02-25,60,Sicily,All
2018-03-04,57,Sicily,All
2018-03-11,62,Sicily,All
2018-03-18,64,Sicily,All
2018-03-25,67,Sicily,All
2018-04-01,69,Sicily,All
2018-04-08,66,Sicily,All
2018-04-15,66,Sicily,All
2018-04-22,70,Sicily,All
2018-04-29,73,Sicily,All
2018-05-06,85,Sicily,All
2018-05-13,74,Sicily,All
2018-05-20,57,Sicily,All
2018-05-27,73,Sicily,All
2018-06-03,75,Sicily,All
2018-06-10,76,Sicily,All
2018-06-17,74,Sicily,All
2018-06-24,91,Sicily,All
2018-07-01,72,Sicily,All
2018-07-08,71,Sicily,All
2018-07-15,77,Sicily,All
2018-07-22,81,Sicily,All
2018-07-29,80,Sicily,All
2018-08-05,75,Sicily,All
2018-08-12,75,Sicily,All
2018-08-19,70,Sicily,All
2018-08-26,62,Sicily,All
2018-09-02,70,Sicily,All
2018-09-09,67,Sicily,All
2018-09-16,74,Sicily,All
2018-09-23,63,Sicily,All
2018-09-30,60,Sicily,All
2018-10-07,59,Sicily,All
2018-10-14,57,Sicily,All
2018-10-21,53,Sicily,All
2018-10-28,50,Sicily,All
2018-11-04,51,Sicily,All
2018-11-11,42,Sicily,All
2018-11-18,43,Sicily,All
2018-11-25,43,Sicily,All
2018-12-02,44,Sicily,All
2018-12-09,43,Sicily,All
2018-12-16,48,Sicily,All
2018-12-23,74,Sicily,All
2018-12-30,68,Sicily,All
2019-01-06,62,Sicily,All
2019-01-13,100,Sicily,All
2019-01-20,74,Sicily,All
2019-01-27,63,Sicily,All
2019-02-03,59,Sicily,All
2019-02-10,61,Sicily,All
2019-02-17,61,Sicily,All
2019-02-24,61,Sicily,All
2019-03-03,62,Sicily,All
2019-03-10,63,Sicily,All
2019-03-17,65,Sicily,All
2019-03-24,68,Sicily,All
2019-03-31,64,Sicily,All
2019-04-07,67,Sicily,All
2019-04-14,69,Sicily,All
2019-04-21,75,Sicily,All
2019-04-28,67,Sicily,All
2019-05-05,72,Sicily,All
2019-05-12,72,Sicily,All
2019-05-19,68,Sicily,All
2019-05-26,75,Sicily,All
2019-06-02,78,Sicily,All
2019-06-09,71,Sicily,All
2019-06-16,76,Sicily,All
2019-06-23,80,Sicily,All
2019-06-30,86,Sicily,All
2019-07-07,83,Sicily,All
2019-07-14,74,Sicily,All
2019-07-21,74,Sicily,All
2019-07-28,81,Sicily,All
2019-08-04,78,Sicily,All
2019-08-11,77,Sicily,All
2019-08-18,80,Sicily,All
2019-08-25,71,Sicily,All
2019-09-01,69,Sicily,All
2019-09-08,69,Sicily,All
2019-09-15,72,Sicily,All
2019-09-22,63,Sicily,All
2019-09-29,62,Sicily,All
2019-10-06,60,Sicily,All
2019-10-13,57,Sicily,All
2019-10-20,54,Sicily,All
2019-10-27,50,Sicily,All
2019-11-03,53,Sicily,All
2019-11-10,51,Sicily,All
2019-11-17,52,Sicily,All
2019-11-24,53,Sicily,All
2019-12-01,46,Sicily,All
2019-12-08,45,Sicily,All
2019-12-15,46,Sicily,All
2019-12-22,53,Sicily,All
2019-12-29,67,Sicily,All
2020-01-05,62,Sicily,All
2020-01-12,62,Sicily,All
2020-01-19,59,Sicily,All
2020-01-26,60,Sicily,All
2020-02-02,61,Sicily,All
2020-02-09,57,Sicily,All
2020-02-16,65,Sicily,All
2020-02-23,60,Sicily,All
2020-03-01,49,Sicily,All
2020-03-08,46,Sicily,All
2020-03-15,34,Sicily,All
2020-03-22,31,Sicily,All
2020-03-29,33,Sicily,All
2020-04-05,34,Sicily,All
2020-04-12,33,Sicily,All
2020-04-19,36,Sicily,All
2020-04-26,61,Sicily,All
2020-05-03,43,Sicily,All
2020-05-10,40,Sicily,All
2020-05-17,40,Sicily,All
2020-05-24,46,Sicily,All
2020-05-31,47,Sicily,All
2020-06-07,52,Sicily,All
2020-06-14,53,Sicily,All
2020-06-21,54,Sicily,All
2020-06-28,54,Sicily,All
2020-07-05,51,Sicily,All
2020-07-12,54,Sicily,All
2020-07-19,61,Sicily,All
2020-07-26,55,Sicily,All
2020-08-02,55,Sicily,All
2020-08-09,60,Sicily,All
2020-08-16,56,Sicily,All
2020-08-23,58,Sicily,All
2020-08-30,55,Sicily,All
2020-09-06,55,Sicily,All
2020-09-13,52,Sicily,All
2020-09-20,53,Sicily,All
2020-09-27,50,Sicily,All
2020-10-04,50,Sicily,All
2020-10-11,41,Sicily,All
2020-10-18,39,Sicily,All
2020-10-25,38,Sicily,All
2020-11-01,30,Sicily,All
2020-11-08,33,Sicily,All
2020-11-15,31,Sicily,All
2020-11-22,30,Sicily,All
2020-11-29,31,Sicily,All
2020-12-06,31,Sicily,All
2020-12-13,33,Sicily,All
2020-12-20,33,Sicily,All
2020-12-27,38,Sicily,All
2021-01-03,31,Sicily,All
2021-01-10,36,Sicily,All
2021-01-17,35,Sicily,All
2021-01-24,33,Sicily,All
2021-01-31,36,Sicily,All
2021-02-07,35,Sicily,All
2021-02-14,42,Sicily,All
2021-02-21,40,Sicily,All
2021-02-28,35,Sicily,All
2021-03-07,40,Sicily,All
2021-03-14,35,Sicily,All
2021-03-21,43,Sicily,All
2021-03-28,39,Sicily,All
2021-04-04,36,Sicily,All
2021-04-11,35,Sicily,All
2021-04-18,36,Sicily,All
2021-04-25,38,Sicily,All
2021-05-02,39,Sicily,All
2021-05-09,42,Sicily,All
2021-05-16,42,Sicily,All
2021-05-23,44,Sicily,All
2021-05-30,48,Sicily,All
2021-06-06,51,Sicily,All
2021-06-13,51,Sicily,All
2021-06-20,56,Sicily,All
2021-06-27,55,Sicily,All
2021-07-04,60,Sicily,All
2021-07-11,61,Sicily,All
2021-07-18,59,Sicily,All
2021-07-25,60,Sicily,All
2021-08-01,56,Sicily,All
2021-08-08,78,Sicily,All
2021-08-15,57,Sicily,All
2021-08-22,58,Sicily,All
